# eigenvectors: bloques por k; cada bloque comienza con '# k <ik>' seguido de N lineas (cada linea es un autovector con N entradas complejas)
# formato complejo por entrada: Re(+-)Imj (ej: 1.234567e-01+2.345678e-03j)
# k 0
7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j -6.073634923056e-39+0.000000000000e+00j 1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j
-1.607540771971e-11-0.000000000000e+00j -1.615587133893e-27+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -1.607540771971e-11+0.000000000000e+00j -8.674321395435e-28+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
0.000000000000e+00+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j -0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j -1.615587133893e-27+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j 3.231174267785e-27+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
-1.607540771971e-11+0.000000000000e+00j 1.615587133893e-27+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 1.607540771971e-11+0.000000000000e+00j 8.674321395435e-28+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j
7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -7.071067811865e-01+0.000000000000e+00j 6.073634923056e-39+0.000000000000e+00j -1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
# k 1
-7.064807790821e-01+0.000000000000e+00j 3.775632778091e-06+2.576201809639e-02j 2.179878672261e-06+1.487370808240e-02j 0.000000000000e+00-4.196822341300e-21j -7.026115747085e-01-7.383810871208e-02j -2.696282124774e-03+2.562053187110e-02j -1.556699226489e-03+1.479202097046e-02j 1.523520297641e-22-1.448864392382e-21j
1.576712702629e-19+0.000000000000e+00j -2.669737418892e-16+3.794991869310e-16j 4.624131529210e-16-6.500222242621e-16j 5.068560345305e-08-7.071067811865e-01j -2.956113675563e-19+6.165396811060e-18j 3.229544594840e-16-3.412093883333e-16j -7.829945417429e-16+5.841560151817e-16j 7.394655398711e-02-7.032296261915e-01j
-2.974741648491e-02+0.000000000000e+00j -8.966758106339e-05-6.118302839333e-01j -5.177255400668e-05-3.532404056077e-01j 0.000000000000e+00-3.648211435674e-18j 2.974680414217e-02-1.908686817195e-04j 3.836027771214e-03+6.118182649032e-01j 2.214728884403e-03+3.532334664358e-01j 4.264087038624e-19-4.054947781130e-18j
9.696594484679e-10+0.000000000000e+00j 3.414340921971e-02+3.519008974669e-01j -5.913812016568e-02-6.095101875376e-01j 5.481726184087e-16+6.487865800153e-16j -9.694204466948e-10-2.152955591583e-11j 4.194771976065e-02-3.510561249117e-01j -7.265558151680e-02+6.080469985480e-01j 5.240472936561e-16+7.562272946502e-16j
9.696594178796e-10+0.000000000000e+00j 3.414338363809e-02+3.519008999490e-01j -5.913807585700e-02-6.095101918367e-01j -5.169475958411e-16-5.585809592645e-16j 9.694204120003e-10+2.152961142698e-11j -4.194774528087e-02+3.510561218623e-01j 7.265562571911e-02-6.080469932663e-01j 4.237445835703e-16+7.586142252238e-16j
2.974741648491e-02+0.000000000000e+00j 8.966758106488e-05+6.118302839333e-01j 5.177255400513e-05+3.532404056077e-01j 0.000000000000e+00+3.648252174319e-18j 2.974680414217e-02-1.908686817196e-04j 3.836027771215e-03+6.118182649032e-01j 2.214728884402e-03+3.532334664358e-01j 4.263773835663e-19-4.054997839966e-18j
