  0.00000000E+00 -0.18652755E+02
  0.17008143E-01 -0.18652828E+02
  0.34016287E-01 -0.18651228E+02
  0.51024430E-01 -0.18647882E+02
  0.68032573E-01 -0.18642729E+02
  0.85040717E-01 -0.18635722E+02
  0.10204886E+00 -0.18626833E+02
  0.11905700E+00 -0.18616060E+02
  0.13606515E+00 -0.18603421E+02
  0.15307329E+00 -0.18588959E+02
  0.17008143E+00 -0.18572736E+02
  0.18708958E+00 -0.18554830E+02
  0.20409772E+00 -0.18535327E+02
  0.22110586E+00 -0.18514314E+02
  0.23811401E+00 -0.18491876E+02
  0.25512215E+00 -0.18468087E+02
  0.27213029E+00 -0.18443006E+02
  0.28913844E+00 -0.18416675E+02
  0.30614658E+00 -0.18389118E+02
  0.32315472E+00 -0.18360340E+02
  0.34016287E+00 -0.18330333E+02
  0.35717101E+00 -0.18299071E+02
  0.37417915E+00 -0.18266520E+02
  0.39118730E+00 -0.18232633E+02
  0.40819544E+00 -0.18197359E+02
  0.42520358E+00 -0.18160637E+02
  0.44221173E+00 -0.18122403E+02
  0.45921987E+00 -0.18082584E+02
  0.47622801E+00 -0.18041107E+02
  0.49323616E+00 -0.17997898E+02
  0.51024430E+00 -0.17952882E+02
  0.52725244E+00 -0.17905995E+02
  0.54426059E+00 -0.17857183E+02
  0.56126873E+00 -0.17806411E+02
  0.57827687E+00 -0.17753666E+02
  0.59528502E+00 -0.17698966E+02
  0.61229316E+00 -0.17642354E+02
  0.62930130E+00 -0.17583905E+02
  0.64630945E+00 -0.17523718E+02
  0.66331759E+00 -0.17461912E+02
  0.68032573E+00 -0.17398615E+02
  0.69733388E+00 -0.17333961E+02
  0.71434202E+00 -0.17268072E+02
  0.73135017E+00 -0.17201053E+02
  0.74835831E+00 -0.17132983E+02
  0.76536645E+00 -0.17063907E+02
  0.78237460E+00 -0.16993838E+02
  0.79938274E+00 -0.16922753E+02
  0.81639088E+00 -0.16850596E+02
  0.83339903E+00 -0.16777287E+02
  0.85040717E+00 -0.16702726E+02
  0.86741531E+00 -0.16626805E+02
  0.88442346E+00 -0.16549413E+02
  0.90143160E+00 -0.16470450E+02
  0.91843974E+00 -0.16389828E+02
  0.93544789E+00 -0.16307481E+02
  0.95245603E+00 -0.16223371E+02
  0.96946417E+00 -0.16137482E+02
  0.98647232E+00 -0.16049830E+02
  0.10034805E+01 -0.15960453E+02
  0.10204886E+01 -0.15869413E+02
  0.10374967E+01 -0.15776789E+02
  0.10545049E+01 -0.15682674E+02
  0.10715130E+01 -0.15587170E+02
  0.10885212E+01 -0.15490379E+02
  0.11055293E+01 -0.15392403E+02
  0.11225375E+01 -0.15293335E+02
  0.11395456E+01 -0.15193260E+02
  0.11565537E+01 -0.15092245E+02
  0.11735619E+01 -0.14990345E+02
  0.11905700E+01 -0.14887596E+02
  0.12075782E+01 -0.14784019E+02
  0.12245863E+01 -0.14679619E+02
  0.12415945E+01 -0.14574388E+02
  0.12586026E+01 -0.14468310E+02
  0.12756108E+01 -0.14361361E+02
  0.12926189E+01 -0.14253518E+02
  0.13096270E+01 -0.14144762E+02
  0.13266352E+01 -0.14035080E+02
  0.13436433E+01 -0.13924476E+02
  0.13606515E+01 -0.13812971E+02
  0.13776596E+01 -0.13700609E+02
  0.13946678E+01 -0.13587458E+02
  0.14116759E+01 -0.13473618E+02
  0.14286840E+01 -0.13359217E+02
  0.14456922E+01 -0.13244415E+02
  0.14627003E+01 -0.13129409E+02
  0.14797085E+01 -0.13014426E+02
  0.14967166E+01 -0.12899735E+02
  0.15137248E+01 -0.12785640E+02
  0.15307329E+01 -0.12672489E+02
  0.15477410E+01 -0.12560679E+02
  0.15647492E+01 -0.12450663E+02
  0.15817573E+01 -0.12342956E+02
  0.15987655E+01 -0.12238152E+02
  0.16157736E+01 -0.12136926E+02
  0.16327818E+01 -0.12040045E+02
  0.16497899E+01 -0.11948367E+02
  0.16667981E+01 -0.11862831E+02
  0.16838062E+01 -0.11784416E+02
  0.17008143E+01 -0.11714089E+02
  0.17178225E+01 -0.11780118E+02
  0.17348306E+01 -0.11844753E+02
  0.17518387E+01 -0.11907930E+02
  0.17688469E+01 -0.11969627E+02
  0.17858550E+01 -0.12029843E+02
  0.18028632E+01 -0.12088587E+02
  0.18198713E+01 -0.12145886E+02
  0.18368794E+01 -0.12201782E+02
  0.18538876E+01 -0.12256325E+02
  0.18708957E+01 -0.12309573E+02
  0.18879038E+01 -0.12361589E+02
  0.19049120E+01 -0.12412431E+02
  0.19219201E+01 -0.12462154E+02
  0.19389283E+01 -0.12510804E+02
  0.19559364E+01 -0.12558411E+02
  0.19729445E+01 -0.12604993E+02
  0.19899527E+01 -0.12650550E+02
  0.20069608E+01 -0.12695065E+02
  0.20239689E+01 -0.12738507E+02
  0.20409771E+01 -0.12780828E+02
  0.20579852E+01 -0.12821971E+02
  0.20749934E+01 -0.12861870E+02
  0.20920015E+01 -0.12900454E+02
  0.21090096E+01 -0.12937650E+02
